Model #,UPC,ASIN,Product title,Seller Name,FBA,Map price,Price,$ Diff,% Diff,Date Detected,Where Detected,Img Url
645481,20867454815,B000YDKDFU,KENTWOOD,designercurios,FALSE,58.99,58.53,,,2017-12-24 02:30,https://www.designercurios.com/product-p/hm-645-481.htm,https://s3-us-west-2.amazonaws.com/mapviolations/designercurios_645-481_2017-12-24_02:30.png
645574,20867455744,B000YDD82A,IMPERIAL,designercurios,FALSE,58.99,58.53,,,2017-12-24 02:31,https://www.designercurios.com/product-p/hm-645-574.htm,https://s3-us-west-2.amazonaws.com/mapviolations/designercurios_645-574_2017-12-24_02:31.png
645615,20867456154,B001D655H8,KEGAN  ANTQ PEWTER  ALARM,designercurios,FALSE,58.99,58.53,,,2017-12-24 02:31,https://www.designercurios.com/product-p/hm-645-615.htm,https://s3-us-west-2.amazonaws.com/mapviolations/designercurios_645-615_2017-12-24_02:31.png
645687,20867456871,B001TJG9ZQ,SOUNDS OF SEASON XMAS CLO,designercurios,FALSE,58.99,58.53,,,2017-12-24 02:33,https://www.designercurios.com/product-p/hm-645-687.htm,https://s3-us-west-2.amazonaws.com/mapviolations/designercurios_645-687_2017-12-24_02:33.png
620503,20867055098,B00R9HUQPQ,SYLVAN           SINGLE P,designercurios,FALSE,60.99,58.24,,,2017-12-24 02:34,https://www.designercurios.com/product-p/hm-620-503.htm,https://s3-us-west-2.amazonaws.com/mapviolations/designercurios_620-503_2017-12-24_02:34.png
645530,20867455300,B000YDD7U8,WINDSOR CARRIAGE,designercurios,FALSE,60.99,59.12,,,2017-12-24 02:34,https://www.designercurios.com/product-p/hm-645-530.htm,https://s3-us-west-2.amazonaws.com/mapviolations/designercurios_645-530_2017-12-24_02:34.png
645694,20867456949,B003701K1I,HADDINGTON,designercurios,FALSE,60.99,59.12,,,2017-12-24 02:34,https://www.designercurios.com/product-p/hm-645-694.htm,https://s3-us-west-2.amazonaws.com/mapviolations/designercurios_645-694_2017-12-24_02:34.png
645729,20867457298,B0085U8XBU,MISSION,designercurios,FALSE,60.99,59.12,,,2017-12-24 02:35,https://www.designercurios.com/Howard-Miller-Mission-Table-Clock-645-729-p/hm-645-729.htm,https://s3-us-west-2.amazonaws.com/mapviolations/designercurios_645-729_2017-12-24_02:35.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2017-12-27 09:15,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625-166_2017-12-27_09:15.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2017-12-27 09:15,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625-195_2017-12-27_09:15.png
2552,877000000000,B002C4RDI4,,clockway,FALSE,899,359.0,,,2017-12-27 10:24,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F525&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_2552_2017-12-27_10:24.png
2572,877000000000,B01MYW61F3,,clockway,FALSE,2299,52.99,,,2017-12-27 10:50,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F355&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_2572_2017-12-27_10:50.png
2569,877000000000,B00SIOK6HW,,clockway,FALSE,2599,259.0,,,2017-12-27 10:53,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=THD2569&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_2569_2017-12-27_10:53.png
2571,877000000000,B00PBUZF2C,,clockway,FALSE,3099,1849.0,,,2017-12-27 10:58,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHK2571&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_2571_2017-12-27_10:58.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-01 03:20,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-01_03:20.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-01 03:20,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-01_03:20.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-06 02:51,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-06_02:51.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-06 02:52,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-06_02:52.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-06 03:01,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-06_03:01.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-06 03:01,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-06_03:01.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-06 03:02,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-06_03:02.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-06 03:02,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-06_03:02.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-06 03:57,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-06_03:57.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-06 03:57,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-06_03:57.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-06 04:01,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-06_04:01.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-06 04:01,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-06_04:01.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-07 15:15,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-07_15:15.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-07 15:15,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-07_15:15.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-07 15:23,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-07_15:23.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-07 15:23,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-07_15:23.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-07 15:25,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-07_15:25.png
625195,20867251957,B000789VG4,,clockway,FALSE,10000,49.44,,,2018-01-07 15:26,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F195&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625195_2018-01-07_15:26.png
625166,20867251667,B000YDKCB0,,clockway,FALSE,10000,59.44,,,2018-01-07 15:33,https://www.clockway.com/mm5/merchant.mvc?Screen=PROD&Store_Code=C&Product_Code=CHM625F166&Category_Code=,https://s3-us-west-2.amazonaws.com/mapviolations/clockway_625166_2018-01-07_15:33.png
